,open,high,low,close,adjclose,volume,ticker,date
2021-01-12,1.0900000233959872e-05,1.1490000360936392e-05,1.0130000191566069e-05,1.0419999853183981e-05,1.0419999853183981e-05,8.0,MOON-USD,2021-01-12
2021-01-13,1.0429999747429974e-05,1.1340000128257088e-05,9.950000276148785e-06,1.1299999641778413e-05,1.1299999641778413e-05,8.0,MOON-USD,2021-01-13
2021-01-14,1.1217559404030908e-05,1.1941469892917667e-05,1.093819628295023e-05,1.1932564120797906e-05,1.1932564120797906e-05,9.0,MOON-USD,2021-01-14
2021-01-11,0.00038355999276973307,0.00038355999276973307,0.000305499997921288,0.0003553199931047857,0.0003553199931047857,0.0,MRX-USD,2021-01-11
2021-01-12,0.00035566999576985836,0.0003656900080386549,0.00032697999267838895,0.00033881000126712024,0.00033881000126712024,1.0,MRX-USD,2021-01-12
2021-01-13,0.00033922999864444137,0.0003760000108741224,0.0003258500073570758,0.0003729599993675947,0.0003729599993675947,2.0,MRX-USD,2021-01-13
2021-01-14,0.00037388381315395236,0.0003895436238963157,0.00036877981619909406,0.00038886137190274894,0.00038886137190274894,3.0,MRX-USD,2021-01-14
2021-01-11,0.06942515820264816,0.06942515820264816,0.049908559769392014,0.06893269717693329,0.06893269717693329,14284.0,MTC1-USD,2021-01-11
2021-01-12,0.06899931281805038,0.09121423214673996,0.06081824004650116,0.0911397635936737,0.0911397635936737,44121.0,MTC1-USD,2021-01-12
2021-01-13,0.09125275909900665,0.19355279207229614,0.060249898582696915,0.09100283682346344,0.09100283682346344,107130.0,MTC1-USD,2021-01-13
2021-01-14,0.08272847533226013,0.1211574450135231,0.07860623300075531,0.1211574450135231,0.1211574450135231,76638.0,MTC1-USD,2021-01-14
2021-01-11,0.06942515820264816,0.06942515820264816,0.049908559769392014,0.06893269717693329,0.06893269717693329,14284.0,MTC2-USD,2021-01-11
2021-01-12,0.06899931281805038,0.09121423214673996,0.06081824004650116,0.0911397635936737,0.0911397635936737,44121.0,MTC2-USD,2021-01-12
2021-01-13,0.09125275909900665,0.19355279207229614,0.060249898582696915,0.09100283682346344,0.09100283682346344,107129.0,MTC2-USD,2021-01-13
